کی گفته مرد گریه نمیکنه!؟!؟ سیلم امشب سیل #اصفهان,SAD
عکسی که چند روز پیش گذاشته بودم این فیلم الانشه... وسط کوه ها... لابه لای مه... #تبریز ,OTHER
تنهاییم شبیه تنهاییه ظهرای بچگیم شده وقتی که همه مي خوابيدن و من خوابم نمي برد، آدما بودن اما نبودن,SAD
خوبه تمام قسمت‌های گوشی رو محافظت می‌کنه,HAPPY
این خاک مال مردمان است نه حاکمان #ایران #مهسا_امینی,ANGRY
اگه تو بغلت بودم حالم خیلی بهتر میشد,SAD
آخوند داره خدا خدا میکنه که باز کرونا بیاد اونا از دست مردم نجاتشون بده.,OTHER
۲/ماموران شرکت گاز رفع نقص و مجددا گاز مشترکان وصل شد.,OTHER
اصلا نخرید بعد از چند هفته استفاده از کار افتاد,ANGRY
متاسفانه اصلی ترین ایرادش نسخه قدیمی بلوتوث هستش,ANGRY
 تو کافر دل نمیبندی نقاب زلف و میترسم که محرابم بگرداند خم آن دل ستان ابرو,FEAR
برعکس همه گربه ها همیشه عاشق بیرونه-.-,HAPPY
 گر سیل عالم پُر شود، هر موج چون اشتر شود مرغان آبی را چه غم، تا غم خورد مرغ هوا!,SAD
 الاغ اندازه تو شعور داشت الان پروفسور بود,ANGRY
تعطیلی پمپ‌های گاز و جایگاه‌های CNG در #شیراز. ۲۵ دی ۱۴۰۱ ?? ,OTHER
میگم خوبه که داعش وجود نداره؟! ,OTHER
 شرکت ما حتی تو اوج کرونا تعطیل نشد.. هروقت نونوایی‌ها تعطیل بشن ما هم تعطیل میشیم,ANGRY
تنها خوبی کمبود گاز این بود که امتحانا به تعویق افتاد,HAPPY
ایران من ای جان من- #مهسا_امینی ,HAPPY
#2022NewYear امیدوارم برای دنیا روزهای خوبی باشه,HAPPY
#آلارم_زلزله نیومد ولی تکذیبش اومد. هر چی که جمهوری اسلامی تکذیب می‌کنه، تاییده دیگه,FEAR
شیطونها، زلزله قابل پیش‌بینی بود و تا حالا به ما نگفتید؟!,OTHER
اگر یک دختر ۱۲ ساله بودی و تولدت بود دوست داشتی چی هدیه بگیری؟,OTHER
نگران ورود تانک های غربی به اوکراین هستم. نیروهای اوکراینی تجربه تانک غربی رو ندارند. ,FEAR
ائتلاف با اتحاد تفاوت داره. افراد با هم متحد می‌شوند. گروه‌ها و احزاب با هم ائتلاف میکنند. ? ,OTHER
پام درده کمرم درده گوشام سوت میکشه چشمام تار میبینه معدمم میسوزه فک کنم دگ دارم میمیرم,SAD
"رنگش زیتونی کدره
اصلا راضی نبودم",ANGRY
 می‌ترسم تکرار سلطنت باعث تکرار استبداد بشه! و این همه رنج تهی از نتیجه شه.,FEAR
واسه خونه هایی که نورش کم هست عالیه,HAPPY
از نظر هم نشینی رنگ ها کنار هم مناسب است,HAPPY
خرید این محصول را پیشنهاد نمی کنم.,ANGRY
من تماس تلفنی و تصویری رو دوست ندارم مگه اینکه ما بهترین دوستای هم باشیم یا دوست داشته باشم,OTHER
جای کارت ملی کارت بانکی نبردی سر جلسه کنکور عاشقی یادت بره ??,SAD
زمان چرخشش خیلی خوبه برای من 4/5 دقیقه می چرخه,HAPPY
Fact:پسرا عاشق دخترای هول و لوس میشن,OTHER
